Période,Climat_Affaires,Taux_Chomage,Indice_Prix_Conso,Indicateur_production_indus,Taux_10ans_FR
1975-01,,3.2,,,
1975-02,,3.2,,,
1975-03,,3.2,,,
1975-04,,3.5,,,
1975-05,,3.5,,,
1975-06,,3.5,,,
1975-07,,3.8,,,
1975-08,,3.8,,,
1975-09,,3.8,,,
1975-10,,3.9,,,
1975-11,,3.9,,,
1975-12,,3.9,,,
1976-01,,4.0,,,
1976-02,,4.0,,,
1976-03,,4.0,,,
1976-04,,4.0,,,
1976-05,,4.0,,,
1976-06,,4.0,,,
1976-07,,3.9,,,
1976-08,,3.9,,,
1976-09,,3.9,,,
1976-10,,4.0,,,
1976-11,,4.0,,,
1976-12,,4.0,,,
1977-01,98.7,4.2,,,
1977-02,101.3,4.2,,,
1977-03,98.3,4.2,,,
1977-04,94.4,4.5,,,
1977-05,91.4,4.5,,,
1977-06,93.9,4.5,,,
1977-07,94.6,4.7,,,
1977-08,94.9,4.7,,,
1977-09,95.4,4.7,,,
1977-10,94.1,4.6,,,
1977-11,91.4,4.6,,,
1977-12,89.8,4.6,,,
1978-01,92.1,4.5,,,
1978-02,91.5,4.5,,,
1978-03,96.3,4.5,,,
1978-04,107.1,4.5,,,
1978-05,106.1,4.5,,,
1978-06,103.7,4.5,,,
1978-07,101.7,4.8,,,
1978-08,103.0,4.8,,,
1978-09,104.4,4.8,,,
1978-10,103.3,5.0,,,
1978-11,105.4,5.0,,,
1978-12,107.1,5.0,,,
1979-01,104.8,5.1,,,
1979-02,102.8,5.1,,,
1979-03,103.2,5.1,,,
1979-04,105.0,5.2,,,
1979-05,105.1,5.2,,,
1979-06,105.4,5.2,,,
1979-07,109.3,5.3,,,
1979-08,109.1,5.3,,,
1979-09,109.1,5.3,,,
1979-10,112.5,5.4,,,
1979-11,113.7,5.4,,,
1979-12,113.1,5.4,,,
1980-01,107.4,5.5,,,
1980-02,106.6,5.5,,,
1980-03,109.5,5.5,,,
1980-04,106.3,5.5,,,
1980-05,104.3,5.5,,,
1980-06,101.2,5.5,,,
1980-07,93.6,5.6,,,
1980-08,91.6,5.6,,,
1980-09,94.2,5.6,,,
1980-10,90.7,5.8,,,
1980-11,93.9,5.8,,,
1980-12,90.3,5.8,,,
1981-01,89.2,6.2,,,
1981-02,87.9,6.2,,,
1981-03,86.1,6.2,,,
1981-04,87.6,6.5,,,
1981-05,90.9,6.5,,,
1981-06,89.3,6.5,,,
1981-07,90.5,6.8,,,
1981-08,92.4,6.8,,,
1981-09,93.3,6.8,,,
1981-10,92.5,6.9,,,
1981-11,95.4,6.9,,,
1981-12,96.7,6.9,,,
1982-01,101.8,7.0,,,
1982-02,100.8,7.0,,,
1982-03,95.0,7.0,,,
1982-04,94.8,7.1,,,
1982-05,97.0,7.1,,,
1982-06,96.0,7.1,,,
1982-07,90.2,7.2,,,
1982-08,88.0,7.2,,,
1982-09,82.2,7.2,,,
1982-10,83.1,7.3,,,
1982-11,89.0,7.3,,,
1982-12,91.0,7.3,,,
1983-01,89.0,7.3,,,
1983-02,88.1,7.3,,,
1983-03,87.6,7.3,,,
1983-04,82.5,7.3,,,
1983-05,79.8,7.3,,,
1983-06,80.3,7.3,,,
1983-07,79.1,7.5,,,
1983-08,80.2,7.5,,,
1983-09,78.2,7.5,,,
1983-10,82.3,7.8,,,
1983-11,82.4,7.8,,,
1983-12,81.3,7.8,,,
1984-01,85.6,8.2,,,
1984-02,86.4,8.2,,,
1984-03,87.3,8.2,,,
1984-04,86.3,8.6,,,
1984-05,86.0,8.6,,,
1984-06,86.5,8.6,,,
1984-07,91.9,8.8,,,
1984-08,92.8,8.8,,,
1984-09,92.0,8.8,,,
1984-10,91.7,9.0,,,
1984-11,93.1,9.0,,,
1984-12,92.7,9.0,,,
1985-01,90.0,9.1,,,
1985-02,92.3,9.1,,,
1985-03,95.2,9.1,,,
1985-04,96.7,9.1,,,
1985-05,95.6,9.1,,,
1985-06,99.6,9.1,,,
1985-07,97.8,9.1,,,
1985-08,98.0,9.1,,,
1985-09,102.7,9.1,,,
1985-10,101.4,9.1,,,
1985-11,103.7,9.1,,,
1985-12,105.0,9.1,,,
1986-01,104.4,9.0,,,10.0473
1986-02,105.2,9.0,,,9.8135
1986-03,108.1,9.0,,,8.8132
1986-04,106.0,9.1,,,8.0354
1986-05,107.3,9.1,,,7.9004
1986-06,103.6,9.1,,,8.0621
1986-07,104.2,9.1,,,7.9463
1986-08,104.2,9.1,,,7.7637
1986-09,104.9,9.1,,,7.5567
1986-10,102.8,9.2,,,7.987
1986-11,102.2,9.2,,,8.6588
1986-12,101.3,9.2,,,8.8146
1987-01,101.0,9.3,,,8.8618
1987-02,100.9,9.3,,,9.1205
1987-03,98.6,9.3,,,8.6692
1987-04,102.3,9.3,,,8.6875
1987-05,104.4,9.3,,,8.9376
1987-06,103.1,9.3,,,9.3195
1987-07,105.0,9.2,,,9.3682
1987-08,106.4,9.2,,,9.8299
1987-09,109.1,9.2,,,10.2498
1987-10,109.8,9.1,,,10.704
1987-11,109.2,9.1,,,9.9615
1987-12,109.3,9.1,,,9.9767
1988-01,112.4,9.0,,,9.813
1988-02,113.6,9.0,,,9.128
1988-03,113.0,9.0,,,9.2613
1988-04,110.6,8.9,,,9.2049
1988-05,111.3,8.9,,,9.2478
1988-06,112.0,8.9,,,8.9587
1988-07,114.2,8.9,,,8.9843
1988-08,115.0,8.9,,,9.2388
1988-09,116.1,8.9,,,9.0054
1988-10,114.2,8.7,,,8.7592
1988-11,115.0,8.7,,,8.7393
1988-12,116.5,8.7,,,8.6897
1989-01,117.7,8.4,,,8.5657
1989-02,115.7,8.4,,,8.9534
1989-03,117.0,8.4,,,9.0781
1989-04,117.4,8.3,,,8.8568
1989-05,115.9,8.3,,,8.8177
1989-06,116.0,8.3,,,8.6736
1989-07,115.7,8.1,,,8.5512
1989-08,114.6,8.1,,,8.3472
1989-09,115.9,8.1,,,8.5462
1989-10,115.9,8.1,,,8.814
1989-11,116.3,8.1,,,9.0501
1989-12,114.8,8.1,,,9.1174
1990-01,115.7,8.1,66.56,93.39,9.5391
1990-02,113.5,8.1,66.56,94.92,9.9704
1990-03,111.5,8.1,66.56,94.45,9.9803
1990-04,111.0,8.0,66.96,94.92,9.5929
1990-05,110.7,8.0,67.03,95.21,9.5553
1990-06,108.9,8.0,67.19,93.8,9.6924
1990-07,110.1,8.0,67.27,93.84,9.59
1990-08,104.2,8.0,67.82,93.35,10.0571
1990-09,103.0,8.0,68.21,94.07,10.4909
1990-10,102.1,8.0,68.44,93.71,10.38
1990-11,100.3,8.0,68.44,92.65,10.2061
1990-12,98.9,8.0,68.44,93.78,9.9365
1991-01,95.8,7.9,68.75,95.06,9.7729
1991-02,85.7,7.9,68.83,94.69,9.1162
1991-03,94.8,7.9,68.83,93.51,9.0513
1991-04,96.3,8.1,69.07,93.46,8.9004
1991-05,92.6,8.1,69.22,93.58,8.8757
1991-06,93.9,8.1,69.54,93.95,9.1527
1991-07,92.3,8.3,69.77,92.37,9.1919
1991-08,93.1,8.3,70.01,93.38,9.1089
1991-09,94.7,8.3,70.01,93.69,8.8781
1991-10,92.8,8.5,70.32,93.28,8.7977
1991-11,91.5,8.5,70.63,94.77,8.8116
1991-12,91.6,8.5,70.55,93.92,8.7996
1992-01,91.5,8.7,70.55,94.16,8.4619
1992-02,94.9,8.7,70.79,93.4,8.4593
1992-03,94.7,8.7,70.87,94.32,8.5939
1992-04,89.2,8.9,71.02,93.67,8.675
1992-05,92.2,8.9,71.18,93.68,8.5868
1992-06,92.0,8.9,71.26,92.57,8.7421
1992-07,88.2,9.1,71.34,92.21,8.8998
1992-08,84.9,9.1,71.41,92.51,9.0503
1992-09,82.8,9.1,71.49,91.2,8.7454
1992-10,82.7,9.3,71.65,92.12,8.4363
1992-11,82.0,9.3,71.8,90.93,8.1464
1992-12,77.8,9.3,71.88,89.75,8.2109
1993-01,78.2,9.6,72.04,89.63,7.9711
1993-02,77.1,9.6,72.2,89.78,7.7902
1993-03,76.3,9.6,72.43,89.39,7.3507
1993-04,80.2,9.9,72.51,88.75,7.1613
1993-05,80.2,9.9,72.59,88.64,7.189
1993-06,73.9,9.9,72.66,87.94,7.0123
1993-07,79.9,10.2,72.82,89.14,6.7505
1993-08,81.6,10.2,72.98,88.55,6.3377
1993-09,83.5,10.2,73.06,89.12,6.1386
1993-10,84.2,10.5,73.21,89.54,5.9786
1993-11,87.9,10.5,73.29,88.91,6.0323
1993-12,91.1,10.5,73.37,88.09,5.8017
1994-01,92.4,10.7,73.37,89.7,5.6686
1994-02,93.4,10.7,73.45,89.43,5.9691
1994-03,97.0,10.7,73.45,89.43,6.3786
1994-04,98.9,10.7,73.68,91.87,6.6903
1994-05,102.4,10.7,73.84,91.78,6.9771
1994-06,103.0,10.7,73.92,92.25,7.4972
1994-07,103.2,10.6,74.07,93.14,7.3945
1994-08,106.2,10.6,74.07,93.66,7.6475
1994-09,108.7,10.6,74.23,93.34,8.1011
1994-10,109.0,10.4,74.39,94.23,8.1862
1994-11,109.6,10.4,74.39,95.01,8.136
1994-12,108.0,10.4,74.46,94.92,8.03
1995-01,108.8,10.2,74.7,95.68,8.2247
