"Libellé";"Indicateur du climat des affaires - Tous secteurs - France métropolitaine";"Codes"
"idBank";"001565530";""
"Dernière mise à jour";"25/04/2025 08:45";""
"Période";"";""
"2025-04";"96.4";"A"
"2025-03";"96.6";"A"
"2025-02";"95.7";"A"
"2025-01";"95.1";"A"
"2024-12";"94.5";"A"
"2024-11";"96.1";"A"
"2024-10";"97.5";"A"
"2024-09";"98.0";"A"
"2024-08";"96.8";"A"
"2024-07";"93.9";"A"
"2024-06";"99.2";"A"
"2024-05";"99.6";"A"
"2024-04";"99.3";"A"
"2024-03";"100.0";"A"
"2024-02";"98.6";"A"
"2024-01";"98.9";"A"
"2023-12";"98.4";"A"
"2023-11";"98.0";"A"
"2023-10";"98.9";"A"
"2023-09";"100.3";"A"
"2023-08";"100.0";"A"
"2023-07";"100.2";"A"
"2023-06";"100.5";"A"
"2023-05";"100.4";"A"
"2023-04";"102.7";"A"
"2023-03";"102.9";"A"
"2023-02";"103.2";"A"
"2023-01";"102.2";"A"
"2022-12";"102.6";"A"
"2022-11";"102.4";"A"
"2022-10";"102.8";"A"
"2022-09";"102.6";"A"
"2022-08";"104.0";"A"
"2022-07";"103.5";"A"
"2022-06";"104.8";"A"
"2022-05";"106.4";"A"
"2022-04";"106.5";"A"
"2022-03";"107.2";"A"
"2022-02";"113.3";"A"
"2022-01";"108.2";"A"
"2021-12";"109.6";"A"
"2021-11";"114.2";"A"
"2021-10";"113.5";"A"
"2021-09";"111.7";"A"
"2021-08";"110.7";"A"
"2021-07";"113.1";"A"
"2021-06";"114.7";"A"
"2021-05";"110.1";"A"
"2021-04";"96.2";"A"
"2021-03";"97.8";"A"
"2021-02";"90.9";"A"
"2021-01";"93.7";"A"
"2020-12";"92.4";"A"
"2020-11";"77.8";"U"
"2020-10";"90.2";"A"
"2020-09";"93.8";"A"
"2020-08";"94.2";"U"
"2020-07";"91.0";"U"
"2020-06";"84.6";"U"
"2020-05";"59.4";"U"
"2020-04";"47.0";"U"
"2020-03";"93.9";"U"
"2020-02";"105.9";"A"
"2020-01";"106.3";"A"
"2019-12";"106.1";"A"
"2019-11";"106.4";"A"
"2019-10";"106.5";"A"
"2019-09";"107.0";"A"
"2019-08";"105.9";"A"
"2019-07";"106.0";"A"
"2019-06";"106.6";"A"
"2019-05";"106.7";"A"
"2019-04";"106.7";"A"
"2019-03";"106.0";"A"
"2019-02";"104.7";"A"
"2019-01";"104.2";"A"
"2018-12";"103.6";"A"
"2018-11";"106.6";"A"
"2018-10";"106.5";"A"
"2018-09";"107.6";"A"
"2018-08";"108.0";"A"
"2018-07";"108.6";"A"
"2018-06";"109.2";"A"
"2018-05";"109.4";"A"
"2018-04";"111.0";"A"
"2018-03";"111.7";"A"
"2018-02";"111.9";"A"
"2018-01";"112.8";"A"
"2017-12";"113.3";"A"
"2017-11";"111.8";"A"
"2017-10";"111.0";"A"
"2017-09";"111.1";"A"
"2017-08";"110.9";"A"
"2017-07";"109.8";"A"
"2017-06";"108.9";"A"
"2017-05";"107.6";"A"
"2017-04";"107.0";"A"
"2017-03";"106.7";"A"
"2017-02";"106.9";"A"
"2017-01";"106.3";"A"
"2016-12";"106.1";"A"
"2016-11";"103.7";"A"
