"Libellé";"Indice CVS des prix à la consommation - Base 2015 - Ensemble des ménages - France - Ensemble";"Codes"
"idBank";"001769682";""
"Dernière mise à jour";"15/05/2025 08:45";""
"Période";"";""
"2025-04";"120.57";"A"
"2025-03";"120.18";"A"
"2025-02";"120.36";"A"
"2025-01";"121.02";"A"
"2024-12";"120.48";"A"
"2024-11";"120.2";"A"
"2024-10";"120.09";"A"
"2024-09";"119.88";"A"
"2024-08";"120.26";"A"
"2024-07";"120.09";"A"
"2024-06";"119.81";"A"
"2024-05";"119.73";"A"
"2024-04";"119.62";"A"
"2024-03";"119.27";"A"
"2024-02";"119.43";"A"
"2024-01";"119.03";"A"
"2023-12";"118.88";"A"
"2023-11";"118.65";"A"
"2023-10";"118.62";"A"
"2023-09";"118.55";"A"
"2023-08";"118.16";"A"
"2023-07";"117.4";"A"
"2023-06";"117.26";"A"
"2023-05";"117.07";"A"
"2023-04";"117.12";"A"
"2023-03";"116.62";"A"
"2023-02";"116.03";"A"
"2023-01";"115.36";"A"
"2022-12";"114.58";"A"
"2022-11";"114.61";"A"
"2022-10";"114.08";"A"
"2022-09";"112.96";"A"
"2022-08";"112.75";"A"
"2022-07";"112.62";"A"
"2022-06";"112.18";"A"
"2022-05";"111.38";"A"
"2022-04";"110.67";"A"
"2022-03";"110.34";"A"
"2022-02";"109.23";"A"
"2022-01";"108.77";"A"
"2021-12";"108.18";"A"
"2021-11";"107.91";"A"
"2021-10";"107.41";"A"
"2021-09";"106.96";"A"
"2021-08";"106.53";"A"
"2021-07";"106.21";"A"
"2021-06";"105.99";"A"
"2021-05";"105.89";"A"
"2021-04";"105.63";"A"
"2021-03";"105.62";"A"
"2021-02";"105.44";"A"
"2021-01";"105.67";"A"
"2020-12";"105.2";"A"
"2020-11";"104.94";"A"
"2020-10";"104.65";"A"
"2020-09";"104.65";"A"
"2020-08";"104.65";"A"
"2020-07";"105.06";"A"
"2020-06";"104.46";"A"
"2020-05";"104.41";"A"
"2020-04";"104.37";"A"
"2020-03";"104.47";"A"
"2020-02";"104.91";"A"
"2020-01";"105.04";"A"
"2019-12";"105.12";"A"
"2019-11";"104.67";"A"
"2019-10";"104.57";"A"
"2019-09";"104.56";"A"
"2019-08";"104.47";"A"
"2019-07";"104.32";"A"
"2019-06";"104.27";"A"
"2019-05";"104.03";"A"
"2019-04";"104.07";"A"
"2019-03";"103.77";"A"
"2019-02";"103.5";"A"
"2019-01";"103.44";"A"
"2018-12";"103.57";"A"
"2018-11";"103.62";"A"
"2018-10";"103.77";"A"
"2018-09";"103.6";"A"
"2018-08";"103.42";"A"
"2018-07";"103.27";"A"
"2018-06";"103.07";"A"
"2018-05";"103.04";"A"
"2018-04";"102.74";"A"
"2018-03";"102.61";"A"
"2018-02";"102.17";"A"
"2018-01";"102.21";"A"
"2017-12";"101.92";"A"
"2017-11";"101.71";"A"
"2017-10";"101.51";"A"
"2017-09";"101.36";"A"
"2017-08";"101.17";"A"
"2017-07";"100.99";"A"
"2017-06";"101.01";"A"
"2017-05";"100.97";"A"
"2017-04";"101.08";"A"
"2017-03";"101.02";"A"
"2017-02";"100.97";"A"
"2017-01";"100.9";"A"
"2016-12";"100.71";"A"
"2016-11";"100.54";"A"
"2016-10";"100.43";"A"
"2016-09";"100.38";"A"
"2016-08";"100.28";"A"
"2016-07";"100.31";"A"
"2016-06";"100.33";"A"
"2016-05";"100.15";"A"
"2016-04";"99.89";"A"
"2016-03";"99.84";"A"
"2016-02";"99.74";"A"
"2016-01";"99.61";"A"
"2015-12";"100.08";"A"
"2015-11";"100.01";"A"
"2015-10";"100.07";"A"
"2015-09";"100.0";"A"
"2015-08";"100.06";"A"
"2015-07";"100.1";"A"
"2015-06";"100.15";"A"
"2015-05";"100.18";"A"
"2015-04";"100.07";"A"
"2015-03";"99.96";"A"
"2015-02";"99.88";"A"
"2015-01";"99.4";"A"
"2014-12";"99.85";"A"
"2014-11";"99.95";"A"
"2014-10";"99.98";"A"
"2014-09";"99.99";"A"
"2014-08";"100.01";"A"
"2014-07";"99.95";"A"
"2014-06";"99.89";"A"
"2014-05";"99.91";"A"
"2014-04";"99.91";"A"
"2014-03";"99.93";"A"
"2014-02";"100.02";"A"
"2014-01";"99.82";"A"
"2013-12";"99.85";"A"
"2013-11";"99.71";"A"
"2013-10";"99.62";"A"
"2013-09";"99.76";"A"
"2013-08";"99.63";"A"
"2013-07";"99.51";"A"
"2013-06";"99.42";"A"
"2013-05";"99.23";"A"
"2013-04";"99.21";"A"
"2013-03";"99.35";"A"
"2013-02";"99.11";"A"
"2013-01";"99.17";"A"
"2012-12";"99.1";"A"
"2012-11";"99.0";"A"
"2012-10";"99.06";"A"
"2012-09";"98.89";"A"
"2012-08";"98.8";"A"
"2012-07";"98.47";"A"
"2012-06";"98.5";"A"
"2012-05";"98.43";"A"
"2012-04";"98.51";"A"
"2012-03";"98.39";"A"
"2012-02";"98.06";"A"
"2012-01";"97.98";"A"
"2011-12";"97.81";"A"
"2011-11";"97.62";"A"
"2011-10";"97.28";"A"
"2011-09";"97.04";"A"
"2011-08";"96.82";"A"
"2011-07";"96.6";"A"
"2011-06";"96.61";"A"
"2011-05";"96.51";"A"
"2011-04";"96.5";"A"
"2011-03";"96.21";"A"
"2011-02";"95.86";"A"
"2011-01";"95.71";"A"
"2010-12";"95.47";"A"
"2010-11";"95.22";"A"
"2010-10";"95.06";"A"
"2010-09";"94.9";"A"
"2010-08";"94.72";"A"
"2010-07";"94.74";"A"
"2010-06";"94.57";"A"
"2010-05";"94.57";"A"
"2010-04";"94.54";"A"
"2010-03";"94.38";"A"
"2010-02";"94.3";"A"
"2010-01";"94.06";"A"
"2009-12";"93.83";"A"
"2009-11";"93.73";"A"
"2009-10";"93.58";"A"
"2009-09";"93.41";"A"
"2009-08";"93.43";"A"
"2009-07";"93.15";"A"
"2009-06";"93.14";"A"
"2009-05";"93.01";"A"
"2009-04";"92.99";"A"
"2009-03";"92.98";"A"
"2009-02";"93.12";"A"
"2009-01";"93.03";"A"
"2008-12";"93.01";"A"
"2008-11";"93.34";"A"
"2008-10";"93.76";"A"
"2008-09";"93.71";"A"
"2008-08";"93.6";"A"
"2008-07";"93.81";"A"
"2008-06";"93.6";"A"
"2008-05";"93.25";"A"
"2008-04";"92.89";"A"
"2008-03";"92.76";"A"
"2008-02";"92.34";"A"
"2008-01";"92.37";"A"
"2007-12";"92.09";"A"
"2007-11";"91.83";"A"
"2007-10";"91.3";"A"
"2007-09";"90.97";"A"
"2007-08";"90.74";"A"
"2007-07";"90.53";"A"
"2007-06";"90.39";"A"
"2007-05";"90.26";"A"
"2007-04";"90.18";"A"
"2007-03";"89.93";"A"
"2007-02";"89.79";"A"
"2007-01";"89.81";"A"
"2006-12";"89.78";"A"
"2006-11";"89.61";"A"
"2006-10";"89.47";"A"
"2006-09";"89.59";"A"
"2006-08";"89.7";"A"
"2006-07";"89.54";"A"
"2006-06";"89.36";"A"
"2006-05";"89.32";"A"
"2006-04";"89.06";"A"
"2006-03";"88.87";"A"
"2006-02";"88.85";"A"
"2006-01";"88.68";"A"
"2005-12";"88.48";"A"
"2005-11";"88.38";"A"
"2005-10";"88.49";"A"
"2005-09";"88.46";"A"
"2005-08";"88.08";"A"
"2005-07";"87.85";"A"
"2005-06";"87.69";"A"
"2005-05";"87.51";"A"
"2005-04";"87.56";"A"
"2005-03";"87.56";"A"
"2005-02";"87.24";"A"
"2005-01";"86.85";"A"
"2004-12";"87.12";"A"
"2004-11";"87.01";"A"
"2004-10";"86.85";"A"
"2004-09";"86.6";"A"
"2004-08";"86.52";"A"
"2004-07";"86.41";"A"
"2004-06";"86.3";"A"
"2004-05";"86.16";"A"
"2004-04";"85.93";"A"
"2004-03";"85.87";"A"
"2004-02";"85.76";"A"
"2004-01";"85.53";"A"
"2003-12";"85.39";"A"
"2003-11";"85.26";"A"
"2003-10";"85.02";"A"
"2003-09";"84.83";"A"
"2003-08";"84.54";"A"
"2003-07";"84.38";"A"
"2003-06";"84.23";"A"
"2003-05";"83.98";"A"
"2003-04";"84.17";"A"
"2003-03";"84.43";"A"
"2003-02";"84.34";"A"
"2003-01";"83.9";"A"
"2002-12";"83.56";"A"
"2002-11";"83.38";"A"
"2002-10";"83.22";"A"
"2002-09";"83.07";"A"
"2002-08";"82.99";"A"
"2002-07";"82.82";"A"
"2002-06";"82.58";"A"
"2002-05";"82.49";"A"
"2002-04";"82.48";"A"
"2002-03";"82.28";"A"
"2002-02";"82.17";"A"
"2002-01";"82.19";"A"
"2001-12";"81.81";"A"
"2001-11";"81.63";"A"
"2001-10";"81.69";"A"
"2001-09";"81.57";"A"
"2001-08";"81.52";"A"
"2001-07";"81.5";"A"
"2001-06";"81.42";"A"
"2001-05";"81.27";"A"
"2001-04";"80.88";"A"
"2001-03";"80.6";"A"
"2001-02";"80.5";"A"
