"Libellé";"Indice CVS-CJO de la production industrielle (base 100 en 2021) - Industrie manufacturière, industries extractives et autres (NAF rév. 2, niveau A10, poste BE)";"Codes"
"idBank";"010768261";""
"Dernière mise à jour";"06/05/2025 08:45";""
"Période";"";""
"2025-03";"101.49";"A"
"2025-02";"101.32";"A"
"2025-01";"100.32";"A"
"2024-12";"100.88";"A"
"2024-11";"101.09";"A"
"2024-10";"101.16";"A"
"2024-09";"101.41";"A"
"2024-08";"101.77";"A"
"2024-07";"101.3";"A"
"2024-06";"101.07";"A"
"2024-05";"100.11";"A"
"2024-04";"102.22";"A"
"2024-03";"101.31";"A"
"2024-02";"101.62";"A"
"2024-01";"101.45";"A"
"2023-12";"102.21";"A"
"2023-11";"101.76";"A"
"2023-10";"101.52";"A"
"2023-09";"101.58";"A"
"2023-08";"101.72";"A"
"2023-07";"101.69";"A"
"2023-06";"101.73";"A"
"2023-05";"102.57";"A"
"2023-04";"100.5";"A"
"2023-03";"100.15";"A"
"2023-02";"101.55";"A"
"2023-01";"100.21";"A"
"2022-12";"101.76";"A"
"2022-11";"100.8";"A"
"2022-10";"99.57";"A"
"2022-09";"101.92";"A"
"2022-08";"102.11";"A"
"2022-07";"99.7";"A"
"2022-06";"101.19";"A"
"2022-05";"100.09";"A"
"2022-04";"99.03";"A"
"2022-03";"99.91";"A"
"2022-02";"100.37";"A"
"2022-01";"101.83";"A"
"2021-12";"99.77";"A"
"2021-11";"99.21";"A"
"2021-10";"101.28";"A"
"2021-09";"98.67";"A"
"2021-08";"100.07";"A"
"2021-07";"100.33";"A"
"2021-06";"99.5";"A"
"2021-05";"99.89";"A"
"2021-04";"100.0";"A"
"2021-03";"100.05";"A"
"2021-02";"98.44";"A"
"2021-01";"102.78";"A"
"2020-12";"99.73";"A"
"2020-11";"100.25";"A"
"2020-10";"101.85";"A"
"2020-09";"99.82";"A"
"2020-08";"98.03";"A"
"2020-07";"97.4";"A"
"2020-06";"93.0";"A"
"2020-05";"82.05";"A"
"2020-04";"67.78";"A"
"2020-03";"87.01";"A"
"2020-02";"107.04";"A"
"2020-01";"105.41";"A"
"2019-12";"103.5";"A"
"2019-11";"105.69";"A"
"2019-10";"106.53";"A"
"2019-09";"106.51";"A"
"2019-08";"105.18";"A"
"2019-07";"106.79";"A"
"2019-06";"105.73";"A"
"2019-05";"108.99";"A"
"2019-04";"107.16";"A"
"2019-03";"106.98";"A"
"2019-02";"107.23";"A"
"2019-01";"107.26";"A"
"2018-12";"106.59";"A"
"2018-11";"105.5";"A"
"2018-10";"106.76";"A"
"2018-09";"105.19";"A"
"2018-08";"106.35";"A"
"2018-07";"106.11";"A"
"2018-06";"106.55";"A"
"2018-05";"104.52";"A"
"2018-04";"105.68";"A"
"2018-03";"106.88";"A"
"2018-02";"105.98";"A"
"2018-01";"104.56";"A"
"2017-12";"108.46";"A"
"2017-11";"107.24";"A"
"2017-10";"106.92";"A"
"2017-09";"106.34";"A"
"2017-08";"105.16";"A"
"2017-07";"104.79";"A"
"2017-06";"104.88";"A"
"2017-05";"105.95";"A"
"2017-04";"103.58";"A"
"2017-03";"104.66";"A"
"2017-02";"102.69";"A"
"2017-01";"103.68";"A"
"2016-12";"103.57";"A"
"2016-11";"104.26";"A"
"2016-10";"102.11";"A"
"2016-09";"102.52";"A"
"2016-08";"103.43";"A"
"2016-07";"101.64";"A"
"2016-06";"101.69";"A"
"2016-05";"102.29";"A"
"2016-04";"104.08";"A"
"2016-03";"102.62";"A"
"2016-02";"103.41";"A"
"2016-01";"103.56";"A"
"2015-12";"101.97";"A"
"2015-11";"101.64";"A"
"2015-10";"103.94";"A"
"2015-09";"103.84";"A"
"2015-08";"102.84";"A"
"2015-07";"101.98";"A"
"2015-06";"102.85";"A"
"2015-05";"102.61";"A"
"2015-04";"101.91";"A"
"2015-03";"102.93";"A"
"2015-02";"103.1";"A"
"2015-01";"102.12";"A"
"2014-12";"102.45";"A"
"2014-11";"98.99";"A"
"2014-10";"100.39";"A"
"2014-09";"101.97";"A"
"2014-08";"100.75";"A"
"2014-07";"102.43";"A"
"2014-06";"101.59";"A"
"2014-05";"100.13";"A"
"2014-04";"101.71";"A"
"2014-03";"101.74";"A"
"2014-02";"102.38";"A"
"2014-01";"100.52";"A"
"2013-12";"101.95";"A"
"2013-11";"102.92";"A"
"2013-10";"101.43";"A"
"2013-09";"101.84";"A"
"2013-08";"100.9";"A"
"2013-07";"101.69";"A"
"2013-06";"102.33";"A"
"2013-05";"103.84";"A"
"2013-04";"104.18";"A"
"2013-03";"102.86";"A"
"2013-02";"102.65";"A"
"2013-01";"101.08";"A"
"2012-12";"101.31";"A"
"2012-11";"100.79";"A"
"2012-10";"100.65";"A"
"2012-09";"102.05";"A"
"2012-08";"104.22";"A"
"2012-07";"102.13";"A"
"2012-06";"101.52";"A"
"2012-05";"102.38";"A"
"2012-04";"103.87";"A"
"2012-03";"103.68";"A"
"2012-02";"104.41";"A"
"2012-01";"103.39";"A"
"2011-12";"103.98";"A"
"2011-11";"106.06";"A"
"2011-10";"103.94";"A"
"2011-09";"103.74";"A"
"2011-08";"104.46";"A"
"2011-07";"105.36";"A"
"2011-06";"104.22";"A"
"2011-05";"107.12";"A"
"2011-04";"103.74";"A"
"2011-03";"105.51";"A"
"2011-02";"106.86";"A"
"2011-01";"106.49";"A"
"2010-12";"105.26";"A"
"2010-11";"103.9";"A"
"2010-10";"102.56";"A"
"2010-09";"102.78";"A"
"2010-08";"101.41";"A"
"2010-07";"102.61";"A"
"2010-06";"101.89";"A"
"2010-05";"102.27";"A"
"2010-04";"101.49";"A"
"2010-03";"101.88";"A"
"2010-02";"99.92";"A"
"2010-01";"100.57";"A"
"2009-12";"99.51";"A"
"2009-11";"99.84";"A"
"2009-10";"98.88";"A"
"2009-09";"99.52";"A"
"2009-08";"98.99";"A"
"2009-07";"97.42";"A"
"2009-06";"97.79";"A"
"2009-05";"96.54";"A"
"2009-04";"95.4";"A"
"2009-03";"95.44";"A"
"2009-02";"97.2";"A"
"2009-01";"98.56";"A"
"2008-12";"102.34";"A"
"2008-11";"103.75";"A"
"2008-10";"109.17";"A"
"2008-09";"111.21";"A"
"2008-08";"111.72";"A"
"2008-07";"113.19";"A"
"2008-06";"112.34";"A"
"2008-05";"112.71";"A"
"2008-04";"118.2";"A"
"2008-03";"115.78";"A"
"2008-02";"117.06";"A"
"2008-01";"116.04";"A"
"2007-12";"114.99";"A"
"2007-11";"114.81";"A"
"2007-10";"116.84";"A"
"2007-09";"114.26";"A"
"2007-08";"116.95";"A"
"2007-07";"116.24";"A"
"2007-06";"116.11";"A"
"2007-05";"116.57";"A"
"2007-04";"113.83";"A"
"2007-03";"115.73";"A"
"2007-02";"114.85";"A"
"2007-01";"113.83";"A"
"2006-12";"115.06";"A"
"2006-11";"113.14";"A"
"2006-10";"113.84";"A"
"2006-09";"114.8";"A"
"2006-08";"113.06";"A"
"2006-07";"113.83";"A"
"2006-06";"115.33";"A"
"2006-05";"115.54";"A"
"2006-04";"113.73";"A"
"2006-03";"114.29";"A"
"2006-02";"112.27";"A"
"2006-01";"113.03";"A"
"2005-12";"113.75";"A"
"2005-11";"115.14";"A"
"2005-10";"110.7";"A"
"2005-09";"114.02";"A"
"2005-08";"111.21";"A"
"2005-07";"111.85";"A"
"2005-06";"112.17";"A"
"2005-05";"112.29";"A"
"2005-04";"113.52";"A"
"2005-03";"110.64";"A"
"2005-02";"113.11";"A"
"2005-01";"114.37";"A"
