Période,Kalman_Filter_1,Kalman_Filter_2
1975-01-01,-12.763907327337975,-81.78115690107944
1975-02-01,-12.763436156209359,-81.78141874906319
1975-03-01,-12.763433393150436,-81.78142028115285
1975-04-01,-12.763433377019398,-81.78142029009736
1975-05-01,-12.76343337692522,-81.78142029014957
1975-06-01,-12.763433376924674,-81.78142029014988
1975-07-01,-12.763433376924672,-81.78142029014987
1975-08-01,-12.76343337692467,-81.78142029014988
1975-09-01,-12.763433376924668,-81.78142029014987
1975-10-01,-12.763433376924672,-81.78142029014987
1975-11-01,-12.76343337692467,-81.78142029014988
1975-12-01,-12.763433376924668,-81.78142029014987
1976-01-01,-12.763433376924672,-81.78142029014987
1976-02-01,-12.76343337692467,-81.78142029014988
1976-03-01,-12.763433376924668,-81.78142029014987
1976-04-01,-12.763433376924672,-81.78142029014987
1976-05-01,-12.76343337692467,-81.78142029014988
1976-06-01,-12.763433376924668,-81.78142029014987
1976-07-01,-12.763433376924672,-81.78142029014987
1976-08-01,-12.76343337692467,-81.78142029014988
1976-09-01,-12.763433376924668,-81.78142029014987
1976-10-01,-12.763433376924672,-81.78142029014987
1976-11-01,-12.76343337692467,-81.78142029014988
1976-12-01,-12.763433376924668,-81.78142029014987
1977-01-01,-12.763433376924672,-81.78142029014987
1977-02-01,-12.762255707264586,-81.7820728974453
1977-03-01,-12.763607682658607,-81.78132370070539
1977-04-01,-12.764551563416498,-81.78080064491309
1977-05-01,-12.76591592258859,-81.78004458150089
1977-06-01,-12.764791511865234,-81.78066767259088
1977-07-01,-12.761810234394295,-81.7823197530122
1977-08-01,-12.7616569473188,-81.78240470314014
1977-09-01,-12.761429577612597,-81.78253070068438
1977-10-01,-12.763345909872225,-81.78146876336695
1977-11-01,-12.764580060402196,-81.78078485333864
1977-12-01,-12.765311984102498,-81.78037925435852
1978-01-01,-12.765603296362228,-81.78021782226334
1978-02-01,-12.765876766714504,-81.78006627770917
1978-03-01,-12.763704203626132,-81.78127020605523
1978-04-01,-12.758799663500964,-81.78398806813578
1978-05-01,-12.759223984909342,-81.78375293950472
1978-06-01,-12.760313541391795,-81.78314915941355
1978-07-01,-12.757239327165625,-81.78485273605565
1978-08-01,-12.756632547748676,-81.78518898978453
1978-09-01,-12.75599487606483,-81.78554235764013
1978-10-01,-12.753831749509137,-81.78674105762322
1978-11-01,-12.752867928326598,-81.78727516475085
1978-12-01,-12.752092287586368,-81.78770498905689
1979-01-01,-12.751800720145809,-81.7878665626471
1979-02-01,-12.752704917963879,-81.7873655007319
1979-03-01,-12.752529015937155,-81.78746297530363
1979-04-01,-12.750383854796068,-81.78865171926233
1979-05-01,-12.750326038219715,-81.78868376263011
1979-06-01,-12.750189815765411,-81.78875925060846
1979-07-01,-12.747093691509075,-81.79047497203426
1979-08-01,-12.74716620899605,-81.7904347924734
1979-09-01,-12.747166632275057,-81.79043455776977
1979-10-01,-12.744297780573234,-81.79202433552092
1979-11-01,-12.743737494863913,-81.79233482429144
1979-12-01,-12.744005994309527,-81.79218603605179
1980-01-01,-12.74526055121098,-81.79149082060798
1980-02-01,-12.745630234123594,-81.79128595782863
1980-03-01,-12.744318837397003,-81.7920126694366
1980-04-01,-12.745760622184086,-81.79121370495918
1980-05-01,-12.74667493780493,-81.79070703283074
1980-06-01,-12.748084419388075,-81.7899259648294
1980-07-01,-12.750206241112199,-81.78875015111626
1980-08-01,-12.751124526213145,-81.7882412779536
