Période,Kalman_Smooth_1,Kalman_Smooth_2
1975-01-01,-12.764230642858182,-81.78097829310568
1975-02-01,-12.763760327036527,-81.78123966682512
1975-03-01,-12.763757579883436,-81.78124119009512
1975-04-01,-12.76375756384563,-81.78124119898794
1975-05-01,-12.763757563751996,-81.78124119903984
1975-06-01,-12.763757563751453,-81.78124119904015
1975-07-01,-12.763757563751449,-81.78124119904015
1975-08-01,-12.763757563751447,-81.78124119904015
1975-09-01,-12.763757563751447,-81.78124119904014
1975-10-01,-12.76375756375145,-81.78124119904015
1975-11-01,-12.763757563751447,-81.78124119904015
1975-12-01,-12.763757563751447,-81.78124119904014
1976-01-01,-12.76375756375145,-81.78124119904015
1976-02-01,-12.763757563751447,-81.78124119904015
1976-03-01,-12.763757563751447,-81.78124119904014
1976-04-01,-12.76375756375145,-81.78124119904015
1976-05-01,-12.763757563751447,-81.78124119904015
1976-06-01,-12.763757563751447,-81.78124119904014
1976-07-01,-12.76375756375145,-81.78124119904015
1976-08-01,-12.763757563751447,-81.78124119904015
1976-09-01,-12.76375756375144,-81.78124119904015
1976-10-01,-12.763757563750092,-81.7812411990409
1976-11-01,-12.763757563518732,-81.78124119916919
1976-12-01,-12.763757523889094,-81.78124122114352
1977-01-01,-12.763750735634789,-81.78124498517832
1977-02-01,-12.762587789671793,-81.78188942830295
1977-03-01,-12.763937429696373,-81.7811415265005
1977-04-01,-12.7648837027213,-81.78061714420974
1977-05-01,-12.76623350479968,-81.77986915258712
1977-06-01,-12.765098323989253,-81.7804982156133
1977-07-01,-12.762133479509385,-81.78214118408266
1977-08-01,-12.761979829188245,-81.78222633562827
1977-09-01,-12.761764943964241,-81.78234541062429
1977-10-01,-12.763677323650167,-81.78128566496879
1977-11-01,-12.764908557594717,-81.7806033721584
1977-12-01,-12.765637926060492,-81.78019919003245
1978-01-01,-12.76592905737705,-81.78003785826739
1978-02-01,-12.766188164191197,-81.7798942781833
1978-03-01,-12.763999782579152,-81.78110697779016
1978-04-01,-12.759126250785208,-81.78380764601451
1978-05-01,-12.759554324316339,-81.78357043685806
1978-06-01,-12.760619686369706,-81.7829800723862
1978-07-01,-12.757559798940505,-81.78467570494526
1978-08-01,-12.75695277267747,-81.78501209555148
1978-09-01,-12.756306221869071,-81.7853703868166
1978-10-01,-12.754150049774491,-81.78656523061551
1978-11-01,-12.753187320304399,-81.7870987324019
1978-12-01,-12.752414526864714,-81.78752697790561
1979-01-01,-12.752129895130945,-81.78768470570124
1979-02-01,-12.753027743458835,-81.78718716452491
1979-03-01,-12.752840413153125,-81.78729097599036
1979-04-01,-12.750707380868844,-81.78847299460217
1979-05-01,-12.750649004980572,-81.78850534810442
1979-06-01,-12.750495609417648,-81.78859035844012
1979-07-01,-12.74741790289808,-81.79029586738831
1979-08-01,-12.747489904015685,-81.79025597414993
1979-09-01,-12.747473657403516,-81.79026498277275
1979-10-01,-12.744618239944133,-81.79184731135442
1979-11-01,-12.744062811862163,-81.79215510661075
1979-12-01,-12.744337043255754,-81.79200314004864
1980-01-01,-12.745586408741513,-81.79131080319853
1980-02-01,-12.74594638145695,-81.79111132464696
1980-03-01,-12.744651005960016,-81.79182915261298
1980-04-01,-12.746089763927698,-81.79103186647626
1980-05-01,-12.74700701627794,-81.79052356594927
1980-06-01,-12.748420648904835,-81.78974019621892
1980-07-01,-12.750535425740743,-81.78856828883133
1980-08-01,-12.75144153294575,-81.78806616821366
1980-09-01,-12.750269726339349,-81.7887155245131
1980-10-01,-12.74918843789163,-81.78931472417281
1980-11-01,-12.747750411856945,-81.7901116044162
1980-12-01,-12.749335224623621,-81.7892333937785
1981-01-01,-12.744558866619485,-81.79188020366739
1981-02-01,-12.74512097144433,-81.79156872151425
1981-03-01,-12.74590769533413,-81.79113276711713
1981-04-01,-12.741264860703462,-81.79370559128297
